,Water_100kVp_1FBP_3mm,Water_120kVp_2Safire_3mm,Water_100kVp_2Safire_3mm,Water_100kVp_1Safire_0-6mm,Water_100kVp_1Safire_3mm,Water_100kVp_2FBP_1-5mm,Water_120kVp_1Safire_3mm,Water_120kVp_1FBP_1-5mm,Water_120kVp_1Safire_0-6mm,Water_120kVp_1FBP_0-6mm,Water_120kVp_1Safire_1-5mm,Water_100kVp_2FBP_0-6mm,Water_100kVp_1Safire_1-5mm,Water_120kVp_2FBP_3mm,Water_120kVp_2FBP_0-6mm,Water_100kVp_1FBP_0-6mm,Water_120kVp_2Safire_0-6mm,Water_120kVp_1FBP_3mm,Water_100kVp_2Safire_0-6mm,Water_100kVp_2Safire_1-5mm,Water_100kVp_1FBP_1-5mm,Water_100kVp_2FBP_3mm,Water_120kVp_2Safire_1-5mm,Water_120kVp_2FBP_1-5mm
original_firstorder_Uniformity,0.18441296758503903,0.2998369090430253,0.2784477098722133,0.11780219426278778,0.27163716252522685,0.1365491965886457,0.3100076005586773,0.15064702896795595,0.13095368644768549,0.08389202776641692,0.22275859328346995,0.07620588705850166,0.20118650964256213,0.20431245336027595,0.0807086444861352,0.07585705703996354,0.12988144529850026,0.21125435621198732,0.11844190453033725,0.20292374562310087,0.13643143975118033,0.18818112418947142,0.21980573296288597,0.14939781364459714
original_firstorder_Variance,1422.1348676280293,508.5611499058137,616.6121797416085,3608.614761524658,641.5055687839568,2631.2012714526295,473.0928767062525,2155.1864295382084,2898.4811754133007,7044.322194030593,967.5240295648757,8582.172007618748,1196.9417595603256,1141.7219416483229,7653.686409402795,8679.47725591333,2950.8855125939263,1070.7269285936682,3553.648654943838,1184.4655495531656,2646.8546720065297,1378.2119966216069,992.0056487109975,2189.874760004858
original_glcm_Autocorrelation,58.1710679967971,31.825158325230685,31.00041927121143,155.64369407388998,31.486779194351673,90.05310928114815,30.517331822596272,73.13261380391943,134.00464793852666,243.84152955653823,56.64918555137115,273.898179449805,57.00164844389479,44.27464365547285,243.22311331457857,240.34480491244514,157.28285153211067,42.71657295624776,182.55320954736766,42.085316533073794,111.4060159504803,43.15180028356371,73.22277192949038,111.5866158460255
original_glcm_ClusterProminence,83.25433914985248,17.98468653675323,26.25904448671939,597.7986100755835,19.504157334313543,275.79347504313614,12.57126199634878,197.86378753954517,385.4482600111054,2056.5699504162844,45.79670210156084,3274.0003358792956,75.89526847072112,71.48485211460168,2598.374588143737,3135.854731578907,394.84636678194965,55.2985307099835,633.2545840122008,61.388664392131965,333.33608574285495,97.59074857370118,51.91707459057015,222.10035600024705
original_glcm_ClusterShade,0.6707302001344313,-0.6916175046691208,-0.8116790429629235,1.397582933796952,0.19431958729139256,-0.12304653246534608,0.005630424074121173,-1.9641121324171138,-0.7254618600960819,-1.3621435824504475,-0.8967075845339632,-2.3547558425361976,-0.17036598959871443,-0.9486315688839146,-0.84891611778907,3.887728376454135,-0.6016131149504171,0.4822692464187933,-1.565895874462308,-0.11425290517057626,-0.07527886054031153,-1.392613676170869,0.4081981655524774,0.6516826195785577
original_glcm_ClusterTendency,5.10280559156171,2.387745414695442,2.8766217263628624,13.705886975010323,2.442861396379104,9.539637443097297,2.0685811586997236,7.987521662702732,10.970842698751111,25.843851754767662,3.8181399340218722,32.70056251252528,4.8967746310464415,4.871391349067121,29.351800407066754,31.834423463299817,11.218791787462695,4.389679893247448,14.067782481274115,4.445599031814658,10.30169696966605,5.750936434698019,4.044234304611787,8.467122356494801
original_glcm_Contrast,3.8186128388894574,1.4990369843686293,2.0497733711101547,9.306887359194999,1.7279789357958744,7.181019335662916,1.2991570930115093,5.769176339208608,7.520710046306727,18.61842062492932,2.602588271133511,23.240371764773748,3.3319636761894347,3.189559119243591,21.226619566057952,22.784213500051468,7.6898646697640505,2.9543132988680814,9.43574109577336,3.134819493033667,7.506553108669113,4.400905009722712,2.750113233663659,6.031792414481854
original_glcm_Correlation,0.13908439016178598,0.2318159554895181,0.17834740657271972,0.18985890342878192,0.16609076302619558,0.13911125145195502,0.228490913479139,0.1598852591161934,0.18531351509432425,0.16108926561176196,0.1887205071082697,0.1699285429142533,0.19219777151468614,0.21088336595992166,0.16212299308494016,0.16419498873951313,0.1855178335253414,0.19650092926405024,0.19812950131122517,0.17016263019656377,0.15904780529009163,0.14111166715861373,0.19170834277205,0.16871769769127704
original_glcm_DifferenceAverage,1.5204187353153478,0.9040940549263511,1.067376531594862,2.3841983328949166,0.9952093776427504,2.101467377993006,0.8448626730597849,1.8811301244245395,2.1467372114017924,3.4105523836338003,1.2393812316908188,3.8089336200847796,1.394269527025212,1.3878168597384417,3.630815599543513,3.76466677665647,2.1688915277668386,1.3345994727279764,2.407409801150256,1.3638111492632772,2.131594531816803,1.6185183810373411,1.2768535423467293,1.923730183170733
original_glcm_DifferenceEntropy,2.19962163194105,1.6596180572883166,1.8256595870770451,2.7796166668951012,1.7282089763194763,2.604990492082849,1.5746405616472512,2.4636077497340616,2.6395128850300185,3.2382510213532973,1.9737767156593948,3.3872161002837475,2.1259447654988044,2.079958453632202,3.3265541154227054,3.375439244856509,2.6555607967512795,2.034907149251553,2.7856402133143114,2.0856906966300253,2.6319206570199962,2.2747191952683874,2.0037297954575175,2.493447582867881
original_glcm_DifferenceVariance,1.489071317016065,0.6730698356898354,0.8893058697213481,3.5813667794189294,0.7287018250216912,2.72920111479882,0.5780536596325502,2.202329711349481,2.879561867343472,6.905770070314057,1.0512115059814962,8.612545812289028,1.36527030120833,1.2428744182648717,7.936173579246817,8.513374364929021,2.951278511468122,1.1542377190708373,3.5902805933443696,1.257108023676413,2.919258765811814,1.7402297469017551,1.1013637668161136,2.297606263526485
original_glcm_Id,0.510122008987232,0.6335680724809739,0.5967802074544124,0.41380728161312624,0.6068721031222608,0.43903834497451544,0.6458151337908951,0.46207240466564203,0.43460776449014993,0.34017172528960415,0.5576502794711531,0.32054653351581447,0.534159283935016,0.5286097608259932,0.3304254276349395,0.3228936315839204,0.4332684061912096,0.5378588782364324,0.41087832984944533,0.5358291105052339,0.43810454570957064,0.4979272642419688,0.5502676772595438,0.45847883103169335
original_glcm_Idm,0.45037222645873515,0.6065019695290474,0.5597612676702096,0.33114884133988476,0.5746481336963745,0.3612802062313469,0.6226950635925157,0.38988497523632254,0.3560865832022736,0.2470606833643853,0.5105242878595063,0.22646368049188548,0.4803306499654137,0.4744163376023851,0.2370655162520676,0.22891720157453016,0.3542569854997351,0.4859620964229307,0.3277798313176611,0.4830002558602453,0.36086981109565114,0.4351368175475849,0.5015362848002882,0.3851295813337048
original_glcm_Idmn,0.9815559798596412,0.982516594320682,0.9808482862092537,0.9846209286396055,0.9862986027522892,0.9792074958586272,0.9874976035562716,0.9788663506488489,0.9863819608610047,0.9816908281387747,0.9852750457607791,0.9774403814602681,0.9838859750306995,0.9792119516764584,0.974957932039363,0.9791537132049648,0.9860904066319363,0.9806279342764631,0.9844063247796003,0.9824463302114801,0.980480688709091,0.9759468582078571,0.9844787061662988,0.9823462167684094
